URL,Địa chỉ,Đường,Phường/Xã,Quận/Huyện,Thành Phố,Giá,Diện tích sử dụng,Phòng ngủ,Nhà tắm,Pháp lý,Ngày đăng,Mã BĐS
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/can-ho-hien-dai-ngay-aeonmall-tan-phu-820tr-so-rieng-full-nto93i6oi365-id22204681," Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Bờ Bao Tân Thắng,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,820 triệu,55 m2,2,2,Sổ hồng,21/09/2023,22204681
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-can-ho-lotus-garden-dt-52m2-1pn-nt-co-ban-gia-1-9-ty-tl-id20786513," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",Trịnh Đình Thảo,Phường Hòa Thạnh,Quận Tân Phú,TPHCM,1 tỷ 900 triệu,52 m2,1,1,Sổ hồng,20/09/2023,20786513
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/can-ban-can-ho-au-co-tower-dt-88m2-3pn-co-nt-gia-2-750-ty-id20783297," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",Âu Cơ,Phường Tân Thành,Quận Tân Phú,TPHCM,2 tỷ 750 triệu,88 m2,3,2,Sổ hồng,20/09/2023,20783297
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-nhanh-can-ho-celadon-emerald-72m2-gia-chi-3-2-ty-id21618428," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Đường N1,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,3 tỷ 200 triệu,72 m2,2,2,Hợp đồng mua bán,20/09/2023,21618428
https://mogi.vn/quan-go-vap/mua-can-ho-chung-cu/ban-can-ho-citylane-go-vap-re-nhat-khu-vuc-3ty6-75m2-2pn-2wc-id21660313," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",Phan Văn Trị,Phường 10,Quận Gò Vấp,TPHCM,3 tỷ 590 triệu,75 m2,2,2,Sổ hồng,20/09/2023,21660313
https://mogi.vn/quan-go-vap/mua-can-ho-chung-cu/chinh-chu-can-ban-gap-can-ho-osimi-tower-gia-tot-53m2-gia-2ty250trieu-id21656434," Lê Đức Thọ, Phường 15, Quận Gò Vấp, TPHCM",Lê Đức Thọ,Phường 15,Quận Gò Vấp,TPHCM,2 tỷ 250 triệu,53 m2,2,1,Hợp đồng mua bán,20/09/2023,21656434
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-can-ho-fortuna-kim-hong-dt-80m2-2pn-full-nt-gia-2-1-ty-con-tl-id20673287," Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",Vườn Lài,Phường Phú Thọ Hòa,Quận Tân Phú,TPHCM,2 tỷ 100 triệu,80 m2,2,2,Sổ hồng,20/09/2023,20673287
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-can-ho-idico-block-c-dt-64m2-2pn-full-nt-gia-2-4-ty-tl-id20672902," Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",Lũy Bán Bích,Phường Hòa Thạnh,Quận Tân Phú,TPHCM,2 tỷ 400 triệu,64 m2,2,2,Hợp đồng mua bán,20/09/2023,20672902
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-can-ho-khang-phu-dt-74m2-2pn-co-nt-gia-2-2-ty-id20783278," Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",Huỳnh Thiện Lộc,Phường Hòa Thạnh,Quận Tân Phú,TPHCM,2 tỷ 200 triệu,74 m2,2,2,Sổ hồng,20/09/2023,20783278
https://mogi.vn/quan-tan-binh/mua-can-ho-chung-cu/ban-can-ho-ruby-garden-dt-88m2-2pn-full-nt-gia-2-5-ty-con-tl-id20672809," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,TPHCM,2 tỷ 500 triệu,88 m2,2,2,Sổ hồng,20/09/2023,20672809
